firstName,lastName,email,phone,company,status,priority,source,notes
Asha,Deshpande,[asha.deshpande201@example.com](mailto:asha.deshpande201@example.com),9100000201,Acme Corp,NEW,LOW,Website,Ask
Rajat,Sawant,[rajat.sawant202@example.com](mailto:rajat.sawant202@example.com),9100000202,Globex,CONTACTED,HIGH,Referral,Hot
Nilesh,Shinde,[nilesh.shinde203@example.com](mailto:nilesh.shinde203@example.com),9100000203,Initech,QUALIFIED,MEDIUM,Ads,Ready
Sonal,Patwardhan,[sonal.patwardhan204@example.com](mailto:sonal.patwardhan204@example.com),9100000204,Umbrella,LOST,LOW,Event,Cold
Hemant,Chaudhari,[hemant.chaudhari205@example.com](mailto:hemant.chaudhari205@example.com),9100000205,Acme Corp,NEW,HIGH,Website,Good
Pratiksha,Biradar,[pratiksha.biradar206@example.com](mailto:pratiksha.biradar206@example.com),9100000206,Globex,CONTACTED,MEDIUM,Referral,Mail
Siddharth,Oak,[siddharth.oak207@example.com](mailto:siddharth.oak207@example.com),9100000207,Initech,QUALIFIED,LOW,Ads,Later
Tejaswini,Gadgil,[tejaswini.gadgil208@example.com](mailto:tejaswini.gadgil208@example.com),9100000208,Umbrella,LOST,HIGH,Event,No
Milind,Phadke,[milind.phadke209@example.com](mailto:milind.phadke209@example.com),9100000209,Acme Corp,NEW,MEDIUM,Website,Need
Rupali,Salunkhe,[rupali.salunkhe210@example.com](mailto:rupali.salunkhe210@example.com),9100000210,Globex,CONTACTED,LOW,Referral,Plan
Chinmay,Bapat,[chinmay.bapat211@example.com](mailto:chinmay.bapat211@example.com),9100000211,Initech,QUALIFIED,HIGH,Ads,Ok
Prajakta,Nene,[prajakta.nene212@example.com](mailto:prajakta.nene212@example.com),9100000212,Umbrella,LOST,MEDIUM,Event,Later
Omkar,Kale,[omkar.kale213@example.com](mailto:omkar.kale213@example.com),9100000213,Acme Corp,NEW,LOW,Website,Ask
Vaishali,Shirodkar,[vaishali.shirodkar214@example.com](mailto:vaishali.shirodkar214@example.com),9100000214,Globex,CONTACTED,HIGH,Referral,Hot
Aniket,Dongre,[aniket.dongre215@example.com](mailto:aniket.dongre215@example.com),9100000215,Initech,QUALIFIED,MEDIUM,Ads,Ready
Sheetal,Varma,[sheetal.varma216@example.com](mailto:sheetal.varma216@example.com),9100000216,Umbrella,LOST,LOW,Event,Cold
Sagar,Joshi,[sagar.joshi217@example.com](mailto:sagar.joshi217@example.com),9100000217,Acme Corp,NEW,HIGH,Website,Good
Madhuri,Pandit,[madhuri.pandit218@example.com](mailto:madhuri.pandit218@example.com),9100000218,Globex,CONTACTED,MEDIUM,Referral,Mail
Ketan,Rane,[ketan.rane219@example.com](mailto:ketan.rane219@example.com),9100000219,Initech,QUALIFIED,LOW,Ads,Later
Archana,Velankar,[archana.velankar220@example.com](mailto:archana.velankar220@example.com),9100000220,Umbrella,LOST,HIGH,Event,No
